,Title,Published_date,Views,Likes,Comments,Month
156,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,93951,2846,606,Apr
157,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,138233,3924,162,Apr
158,When Data Science Goes Wrong,2020-03-30,1771,106,32,Mar
159,How to ULTRALEARN Data Science,2020-03-27,60109,3754,167,Mar
160,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4255,265,50,Mar
161,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,11857,438,45,Mar
162,The Secret Data Scientists Don't Want You to Know,2020-03-16,10342,1113,107,Mar
163,The 5 Stages of Learning Data Science,2020-03-13,16908,1264,78,Mar
164,Can You Learn Data Science Without a Computer?,2020-03-11,1395,103,14,Mar
165,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,331582,20629,618,Mar
166,The Data Science Projects that Got Me a Job,2020-03-06,38428,1339,41,Mar
167,How to Integrate Data Science into Your Business,2020-03-02,3251,124,18,Mar
168,The Problem with Data Science,2020-02-28,3681,150,21,Feb
169,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1102,46,16,Feb
170,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,104873,2120,95,Feb
171,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,300432,16897,512,Feb
172,Data Science Advice for College Students,2020-02-14,67642,1936,195,Feb
173,Avoid These Data Science Resume Mistakes!,2020-02-10,26438,1182,58,Feb
174,Data Science Explained with ... Cooking?,2020-02-07,4687,289,47,Feb
175,The 4 Types of Sports Analytics Projects,2020-02-03,24724,849,60,Feb
176,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,547,18,13,Jan
177,How I Learned Data Science,2020-01-27,91730,2620,210,Jan
178,What is Sports Analytics Really?,2020-01-20,18148,544,73,Jan
179,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,105407,2993,582,Jan
180,How To Learn Programming for Data Science [3 Steps],2020-01-13,29018,1935,98,Jan
181,Data Science Fundamentals: SQL Queries,2020-01-10,5796,204,34,Jan
182,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2846,141,14,Jan
183,The 9 Books That Changed My Perspective in 2019,2020-01-03,3276,179,23,Jan
184,The Data Science Interview: What to Expect,2019-12-30,7800,361,32,Dec
185,5 Data Science Resolutions for 2020,2019-12-27,471,25,12,Dec
